ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,Amplitude_deg,MaxVel,MeanVel,ROI,group,subject
n1q4,fixation,0,185,24200000.0,22.604003169792737,,,KW_n2q4_1,control,control_group_1
n10q4,fixation,4,7,489.0,13.62457864304068,,,KW_n2q4_1,control,control_group_10
n10q4,fixation,9,11,488.0,38.15458128456398,,,KW_n2q4_1,control,control_group_10
n10q4,fixation,15,19,488.0,5.087947274726814,,,INST_n2q4_2a,control,control_group_10
n10q4,fixation,21,24,367.0,5.048619450186358,,,INST_n2q4_2a,control,control_group_10
n10q4,fixation,26,27,122.00000000000091,0.552019333357085,,,INST_n2q4_2a,control,control_group_10
n10q4,fixation,30,32,244.0,0.9439713124878323,,,INST_n2q4_2a,control,control_group_10
n10q4,fixation,36,37,123.0,0.8094554992091877,,,INST_n2q4_2b,control,control_group_10
n10q4,fixation,39,42,367.0,2.6755996355209786,,,INST_n2q4_2b,control,control_group_10
n10q4,fixation,46,65,2323.0,1.4220793901888849,,,KW_n2q4_1,control,control_group_10
n10q4,fixation,67,122,6723.000000000002,4.247320966067904,,,KW_n2q4_1,control,control_group_10
n10q4,fixation,124,158,4278.0,4.682398947078302,,,KW_n2q4_1,control,control_group_10
n10q4,saccade,0,0,0.0,0.0,0.0,0.0,,control,control_group_10
n10q4,saccade,1,1,0.0,0.0,64.7885597432853,64.7885597432853,,control,control_group_10
n10q4,saccade,2,2,0.0,0.0,21.137348163120805,21.137348163120805,,control,control_group_10
n10q4,saccade,3,3,0.0,0.0,47.64599519000305,47.64599519000305,,control,control_group_10
n10q4,saccade,8,8,0.0,0.0,58.8176330786577,58.8176330786577,,control,control_group_10
n10q4,saccade,12,12,0.0,0.0,73.73829011060303,73.73829011060303,,control,control_group_10
n10q4,saccade,13,13,0.0,0.0,3.987131561227433,3.987131561227433,,control,control_group_10
n10q4,saccade,14,14,0.0,0.0,43.78375691054654,43.78375691054654,,control,control_group_10
n10q4,saccade,20,20,0.0,0.0,50.20538262237792,50.20538262237792,,control,control_group_10
n10q4,saccade,25,25,0.0,0.0,62.03501832299064,62.03501832299064,,control,control_group_10
n10q4,saccade,28,29,123.0,11.477125129961777,93.30996040619331,74.64073182649201,,control,control_group_10
n10q4,saccade,33,33,0.0,0.0,64.82313772330879,64.82313772330879,,control,control_group_10
n10q4,saccade,34,34,0.0,0.0,5.367956639067035,5.367956639067035,,control,control_group_10
n10q4,saccade,35,35,0.0,0.0,69.39065494685318,69.39065494685318,,control,control_group_10
n10q4,saccade,38,38,0.0,0.0,49.78619330745525,49.78619330745525,,control,control_group_10
n10q4,saccade,43,45,366.0,26.286764544188394,97.25093921160679,80.82941767897059,,control,control_group_10
n10q4,saccade,66,66,0.0,0.0,74.8755542207218,74.8755542207218,,control,control_group_10
n10q4,saccade,123,123,0.0,0.0,63.62954332198846,63.62954332198846,,control,control_group_10
n11q4,fixation,0,7,978.0,12.34046184673815,,,INST_n2q4_1,control,control_group_11
n11q4,fixation,9,26,2323.0,31.07680731576524,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,34,38,489.0,0.024870778033669425,,,INST_n2q4_2a,control,control_group_11
n11q4,fixation,40,59,2567.0,37.81849720701234,,,INST_n2q4_2a,control,control_group_11
n11q4,fixation,61,97,4644.0,33.45288944641405,,,INST_n2q4_2b,control,control_group_11
n11q4,fixation,99,111,1590.0,4.284868394758466,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,113,221,13202.0,1.8006309144297172,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,223,241,2445.0,0.48613035659172166,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,243,261,2199.0,6.7322254339259855,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,263,274,1345.0,2.4520891619188734,,,KW_n2q4_1,control,control_group_11
n11q4,fixation,276,301,3056.0,8.69263372287134,,,KW_n2q4_1,control,control_group_11
n11q4,saccade,8,8,0.0,0.0,62.457867360025936,62.457867360025936,,control,control_group_11
n11q4,saccade,27,27,0.0,0.0,48.326892089801916,48.326892089801916,,control,control_group_11
n11q4,saccade,28,28,0.0,0.0,0.7659067870340069,0.7659067870340069,,control,control_group_11
n11q4,saccade,29,29,0.0,0.0,42.664222036159124,42.664222036159124,,control,control_group_11
n11q4,saccade,30,30,0.0,0.0,1.9998808411855715,1.9998808411855715,,control,control_group_11
n11q4,saccade,31,31,0.0,0.0,42.40600803472955,42.40600803472955,,control,control_group_11
n11q4,saccade,32,32,0.0,0.0,3.847482946051335,3.847482946051335,,control,control_group_11
n11q4,saccade,33,33,0.0,0.0,60.64543222201754,60.64543222201754,,control,control_group_11
n11q4,saccade,39,39,0.0,0.0,54.56033148109157,54.56033148109157,,control,control_group_11
n11q4,saccade,60,60,0.0,0.0,45.73862808428472,45.73862808428472,,control,control_group_11
n11q4,saccade,98,98,0.0,0.0,44.37037630676426,44.37037630676426,,control,control_group_11
n11q4,saccade,112,112,0.0,0.0,53.81698581277648,53.81698581277648,,control,control_group_11
n11q4,saccade,222,222,0.0,0.0,52.98377107282523,52.98377107282523,,control,control_group_11
n11q4,saccade,242,242,0.0,0.0,55.20942816875372,55.20942816875372,,control,control_group_11
n11q4,saccade,262,262,0.0,0.0,48.490112920481444,48.490112920481444,,control,control_group_11
n11q4,saccade,275,275,0.0,0.0,45.358781110581894,45.358781110581894,,control,control_group_11
n12q4,fixation,0,1,123.0,0.2555949295271723,,,INST_n2q4_1,control,control_group_12
n12q4,fixation,3,12,1222.0,26.44837001535633,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,14,19,611.0,4.135704109435291,,,BG_n2q4,control,control_group_12
n12q4,fixation,21,29,979.0,14.523347968192457,,,INST_n2q4_2a,control,control_group_12
n12q4,fixation,31,32,122.0,0.7403247895349783,,,INST_n2q4_2a,control,control_group_12
n12q4,fixation,34,55,3056.0,30.984991068018726,,,INST_n2q4_2a,control,control_group_12
n12q4,fixation,59,66,855.0,7.538251013809506,,,INST_n2q4_2b,control,control_group_12
n12q4,fixation,68,69,122.0,0.0645999690402448,,,INST_n2q4_2b,control,control_group_12
n12q4,fixation,71,76,611.0,6.726541479542061,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,79,81,245.0,1.4763594928065336,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,83,126,5256.0,2.9402249852689804,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,128,179,6479.0,4.720062372469247,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,181,197,2078.0,17.72981323779808,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,199,236,4646.0,4.445633018457541,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,239,248,1100.0,2.311691477338625,,,KW_n2q4_1,control,control_group_12
n12q4,fixation,250,255,733.0,19.020016099109913,,,KW_n2q4_1,control,control_group_12
n12q4,saccade,2,2,0.0,0.0,57.24534883869329,57.24534883869329,,control,control_group_12
n12q4,saccade,13,13,0.0,0.0,61.110638050243104,61.110638050243104,,control,control_group_12
n12q4,saccade,20,20,0.0,0.0,43.44928311736642,43.44928311736642,,control,control_group_12
n12q4,saccade,30,30,0.0,0.0,40.65996227456159,40.65996227456159,,control,control_group_12
n12q4,saccade,33,33,0.0,0.0,44.69210918864966,44.69210918864966,,control,control_group_12
n12q4,saccade,56,56,0.0,0.0,80.82131923071387,80.82131923071387,,control,control_group_12
n12q4,saccade,57,57,0.0,0.0,8.68389950669062,8.68389950669062,,control,control_group_12
n12q4,saccade,58,58,0.0,0.0,53.209197006194145,53.209197006194145,,control,control_group_12
