group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,ttff_ms_is_missing,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
control,control_group_1,4,1,0,24200000.0,24200000.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,22.604003169792737,0.0,0.0,0.0,0.1530747922437673,0.8574013753166848,2.883130085984681,0.0720775623268698,0.865488086087625,3.041919169383148
control,control_group_10,4,11,18,16501.000000000004,14301.000000000002,1711.000000000001,0.0,0.8666747469850311,0.1036906854130053,0.0,0.0,0,37.76388967415017,15.964083628762266,1,2200.000000000002,2,2,0,0,7.022597430584364,2.0979938707861208,52.4762808600004,50.52679474264831,0.1412105889351576,0.8588730911005793,2.2708383623579778,0.1091612135633551,0.8569482288828338,2.2679307625563814
control,control_group_11,4,11,16,34838.0,26160.0,8678.0,0.0,0.7509041850852517,0.2490958149147482,0.0,978.0,0,0.0,12.367767055058332,2,4339.0,3,3,0,0,12.651100416223596,0.0,41.47763170466027,41.47763170466027,0.1513968317966238,0.9294975120891444,3.008688096857405,0.1108022366285053,0.9314373264387628,3.0267135904562075
control,control_group_12,4,16,17,28483.0,22370.0,5257.0,611.0,0.7853807534318716,0.1845662324895551,0.0214513920584208,123.0,0,13.246038732736896,16.477593235043198,2,3056.5,4,2,1,1,9.003845376606606,0.7791787489845232,55.97773777043989,55.35610393400897,0.1389749770431588,0.8895312822630601,2.56418420699822,0.0962465564738292,0.8837209302325582,2.5721619727633063
control,control_group_13,4,21,24,40701.0,33000.0,6967.999999999999,0.0,0.8107908896587307,0.1711997248224859,0.0,1345.0,0,25.304191967968336,14.530490753110092,2,3850.5,3,3,0,0,8.594840403979395,1.0543413319986807,48.26953569774766,47.62145694225624,0.1380373610102854,0.9059619890653476,2.785210204406265,0.0730760660969316,0.879020359988197,2.7624520815255886
control,control_group_14,4,8,19,20047.0,16748.0,2932.0,0.0,0.8354367236993067,0.146256297700404,0.0,3177.0,0,26.417861884946767,13.53908237848558,1,3299.0,1,1,0,0,16.670488868478742,1.3904137834182508,44.42865688717731,44.10751472961281,0.2579108838568298,0.9336127789736036,2.996928096067533,0.1621913805697589,0.9066834804539724,2.764286321491729
control,control_group_15,4,14,17,31656.0,27991.0,2079.000000000001,1342.0,0.8842241597169573,0.065674753601213,0.0423932271923174,490.0,0,15.289239056054544,20.51509074068848,2,1832.5,4,2,1,1,6.718180269335525,0.8993670032973261,52.50461937927668,51.49203719146026,0.1675626489146442,0.9079671311182566,2.9104596164658325,0.1162701596005795,0.8793121202759757,2.5647849126811684
control,control_group_16,4,12,11,24569.0,19557.0,4279.0,0.0,0.7960030933289918,0.1741625625788595,0.0,4524.0,0,51.90343579666956,15.838352010034807,1,5012.0,1,1,0,0,11.20212697644998,4.718494163333596,71.20923622527658,67.61123386488708,0.191908437583178,0.9152885949002454,2.8843481607727184,0.171065293503409,0.9047277079593058,2.835819008789381
control,control_group_17,4,18,27,22978.0,20288.0,1590.0,122.0,0.8829314996953608,0.0691966228566454,0.0053094264078683,123.0,0,67.29202197384649,15.016121075560692,1,2690.0,3,1,1,1,5.700256708395607,2.4922971101424625,53.45684360089989,51.28976358122965,0.1476367886624296,0.8154379020286987,2.315383416151071,0.1177587844254511,0.8228908188585607,2.3433147635213114
control,control_group_18,4,13,14,21517.0,19556.0,1470.0,0.0,0.9088627596783938,0.0683180740809592,0.0,248.0,0,40.44511476325134,12.84003513124576,2,980.5,3,3,0,0,8.28420754815555,2.888936768803667,55.97671281028992,53.30600767778994,0.1771247831853892,0.9009216589861752,2.779108415128678,0.1592184470972349,0.9029157321371356,2.8828796461916366
