ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
n1q1,KW_n2q1_4,2.569,4,3,control
n1q1,INST_n2q1_1,0.612,1,0,control
n1q1,KW_n2q1_1,1.834,4,3,control
n1q1,BG_n2q1,1.1,3,2,control
n1q1,KW_n2q1_2,2.1989999999999994,7,6,control
n1q1,KW_n2q1_3,2.079,2,1,control
n1q2,KW_n2q2_3,0.611,2,1,control
n1q2,KW_n2q2_2,4.769,6,5,control
n1q2,INST_n2q2_1,3.789,6,5,control
n1q2,BG_n2q2,2.934,12,11,control
n1q2,KW_n2q2_4,0.122,1,0,control
n1q2,KW_n2q2_1,1.221,4,3,control
n1q3,KW_n2q3_1,0.367,2,1,control
n1q3,INST_n2q3_2,0.489,2,1,control
n1q3,INST_n2q3_1,1.8329999999999995,4,3,control
n1q3,BG_n2q3,6.966999999999998,9,8,control
n1q3,KW_n2q3_2,0.244,2,1,control
n1q3,KW_n2q3_3,0.244,2,1,control
n1q4,INST_n2q4_2b,0.244,1,0,control
n1q4,KW_n2q4_1,17.234999999999985,6,5,control
n1q4,INST_n2q4_1,0.244,1,0,control
n1q4,BG_n2q4,5.252999999999998,11,10,control
n1q4,INST_n2q4_2a,0.49,3,2,control
n1q5,BG_n2q5,4.889999999999999,6,5,control
n1q5,INST_n2q5_1a,1.589,3,2,control
n1q5,INST_n2q5_1c,0.244,1,0,control
n1q5,INST_n2q5_1b,2.4439999999999995,2,1,control
n10q1,KW_n2q1_4,2.079,3,2,control
n10q1,INST_n2q1_1,0.617,1,0,control
n10q1,KW_n2q1_1,1.101,3,2,control
n10q1,BG_n2q1,5.011999999999998,8,7,control
n10q1,KW_n2q1_2,3.424999999999999,2,1,control
n10q1,KW_n2q1_3,0.4890000000000009,1,0,control
n10q2,KW_n2q2_3,2.080000000000001,3,2,control
n10q2,KW_n2q2_2,2.201,1,0,control
n10q2,INST_n2q2_1,0.856,1,0,control
n10q2,BG_n2q2,3.4189999999999974,8,7,control
n10q2,KW_n2q2_4,3.303,5,4,control
n10q2,KW_n2q2_1,2.5669999999999997,1,0,control
n10q3,KW_n2q3_1,0.977,4,3,control
n10q3,INST_n2q3_2,4.521999999999999,2,1,control
n10q3,INST_n2q3_1,2.0779999999999994,1,0,control
n10q3,BG_n2q3,0.734,3,2,control
n10q3,KW_n2q3_2,1.1,3,2,control
n10q3,KW_n2q3_3,2.9339999999999997,2,1,control
n10q4,INST_n2q4_2b,1.101,2,1,control
n10q4,KW_n2q4_1,15.034999999999986,2,1,control
n10q4,INST_n2q4_1,0.611,1,0,control
n10q4,BG_n2q4,0.244,2,1,control
n10q4,INST_n2q4_2a,2.688999999999999,1,0,control
n10q5,BG_n2q5,4.766999999999998,9,8,control
n10q5,INST_n2q5_1a,0.488,3,2,control
n10q5,INST_n2q5_1c,1.2239999999999998,5,4,control
n10q5,INST_n2q5_1b,2.565999999999999,3,2,control
n11q1,KW_n2q1_4,0.98,3,2,control
n11q1,INST_n2q1_1,0.497,1,0,control
n11q1,KW_n2q1_1,2.810999999999999,4,3,control
n11q1,BG_n2q1,3.0569999999999977,7,6,control
n11q1,KW_n2q1_2,3.67,2,1,control
n11q1,KW_n2q1_3,1.0990000000000009,4,3,control
n11q2,KW_n2q2_3,1.223,2,1,control
n11q2,KW_n2q2_2,1.955,1,0,control
n11q2,INST_n2q2_1,1.9569999999999996,2,1,control
n11q2,BG_n2q2,2.198999999999999,4,3,control
n11q2,KW_n2q2_4,1.4679999999999995,1,0,control
n11q2,KW_n2q2_1,2.6899999999999995,1,0,control
n11q3,KW_n2q3_1,1.343,3,2,control
n11q3,INST_n2q3_2,3.911999999999999,1,0,control
n11q3,INST_n2q3_1,1.834,1,0,control
n11q3,BG_n2q3,0.49,3,2,control
n11q3,KW_n2q3_2,1.223,2,1,control
n11q3,KW_n2q3_3,2.443,3,2,control
n11q4,INST_n2q4_2b,4.155999999999999,1,0,control
n11q4,KW_n2q4_1,27.257,4,3,control
n11q4,INST_n2q4_1,0.611,1,0,control
n11q4,BG_n2q4,1.345,3,2,control
n11q4,INST_n2q4_2a,3.789999999999999,1,0,control
n11q5,BG_n2q5,8.311999999999998,5,4,control
n11q5,INST_n2q5_1a,1.1,2,1,control
n11q5,INST_n2q5_1c,1.59,2,1,control
n11q5,INST_n2q5_1b,0.733,2,1,control
n12q1,KW_n2q1_4,2.443999999999999,1,0,control
n12q1,INST_n2q1_1,0.373,1,0,control
n12q1,KW_n2q1_1,5.136,7,6,control
n12q1,BG_n2q1,2.324,3,2,control
n12q1,KW_n2q1_2,3.1789999999999994,6,5,control
n12q1,KW_n2q1_3,0.978,2,1,control
n12q2,KW_n2q2_3,3.544,1,0,control
n12q2,KW_n2q2_2,10.022999999999993,1,0,control
n12q2,INST_n2q2_1,0.733,1,0,control
n12q2,BG_n2q2,1.3469999999999998,4,3,control
n12q2,KW_n2q2_4,3.055999999999999,1,0,control
n12q2,KW_n2q2_1,6.109999999999998,4,3,control
n12q3,KW_n2q3_1,1.465,3,2,control
n12q3,INST_n2q3_2,2.932999999999999,3,2,control
n12q3,INST_n2q3_1,2.321999999999999,1,0,control
n12q3,BG_n2q3,0.977,3,2,control
n12q3,KW_n2q3_2,1.3449999999999998,2,1,control
n12q3,KW_n2q3_3,2.0779999999999994,2,1,control
n12q4,INST_n2q4_2b,2.5680000000000005,2,1,control
n12q4,KW_n2q4_1,24.077999999999992,4,3,control
n12q4,INST_n2q4_1,0.858,3,2,control
n12q4,BG_n2q4,0.3659999999999991,2,1,control
n12q4,INST_n2q4_2a,3.666999999999999,1,0,control
n12q5,BG_n2q5,6.842999999999997,6,5,control
n12q5,INST_n2q5_1a,0.244,1,0,control
n12q5,INST_n2q5_1c,0.735,3,2,control
n12q5,INST_n2q5_1b,1.223,1,0,control
n13q1,KW_n2q1_4,3.177,3,2,control
n13q1,INST_n2q1_1,1.4679999999999995,1,0,control
n13q1,KW_n2q1_1,1.469,1,0,control
n13q1,BG_n2q1,0.37,2,1,control
n13q1,KW_n2q1_2,1.1,1,0,control
n13q1,KW_n2q1_3,0.978,1,0,control
n13q2,KW_n2q2_3,1.955,1,0,control
n13q2,KW_n2q2_2,2.5669999999999997,1,0,control
n13q2,INST_n2q2_1,1.835,1,0,control
n13q2,BG_n2q2,0.488,2,1,control
n13q2,KW_n2q2_4,2.5679999999999987,3,2,control
n13q2,KW_n2q2_1,2.567,1,0,control
n13q3,KW_n2q3_1,1.101,4,3,control
n13q3,INST_n2q3_2,2.691,3,2,control
n13q3,INST_n2q3_1,1.59,1,0,control
n13q3,BG_n2q3,7.822999999999999,10,9,control
n13q3,KW_n2q3_2,1.223,2,1,control
n13q3,KW_n2q3_3,1.222,2,1,control
n13q4,INST_n2q4_2b,3.302,2,1,control
n13q4,KW_n2q4_1,35.81299999999999,6,5,control
n13q4,INST_n2q4_1,0.855,2,1,control
n13q4,BG_n2q4,2.813,8,7,control
n13q4,INST_n2q4_2a,2.3230000000000017,3,2,control
n13q5,BG_n2q5,1.9539999999999995,5,4,control
n13q5,INST_n2q5_1a,1.4679999999999995,1,0,control
n13q5,INST_n2q5_1c,6.356999999999998,4,3,control
n13q5,INST_n2q5_1b,1.957,3,2,control
n14q1,KW_n2q1_4,1.5869999999999995,2,1,control
n14q1,INST_n2q1_1,1.225,1,0,control
n14q1,KW_n2q1_1,2.935,1,0,control
