ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
ad10q1,KW_n2q1_4,5.502999999999999,10,9
ad10q1,INST_n2q1_1,3.3089999999999993,5,4
ad10q1,KW_n2q1_1,4.77,8,7
ad10q1,BG_n2q1,7.821000000000001,25,24
ad10q1,KW_n2q1_2,7.091999999999997,14,13
ad10q1,KW_n2q1_3,6.476999999999998,7,6
ad10q2,KW_n2q2_3,4.156999999999999,6,5
ad10q2,KW_n2q2_2,3.5459999999999994,7,6
ad10q2,INST_n2q2_1,5.256999999999999,3,2
ad10q2,BG_n2q2,3.9109999999999987,13,12
ad10q2,KW_n2q2_4,3.546999999999999,5,4
ad10q2,KW_n2q2_1,6.109999999999998,6,5
ad10q3,KW_n2q3_1,2.4449999999999994,4,3
ad10q3,INST_n2q3_2,4.032999999999998,3,2
ad10q3,INST_n2q3_1,1.467,2,1
ad10q3,BG_n2q3,4.279999999999998,10,9
ad10q3,KW_n2q3_2,2.565999999999999,5,4
ad10q3,KW_n2q3_3,1.7100000000000017,5,4
ad10q4,INST_n2q4_2b,5.376999999999998,9,8
ad10q4,KW_n2q4_1,8.433999999999996,8,7
ad10q4,INST_n2q4_1,2.198,6,5
ad10q4,BG_n2q4,8.441000000000003,24,23
ad10q4,INST_n2q4_2a,8.552999999999994,12,11
ad10q5,BG_n2q5,8.309999999999999,13,12
ad10q5,INST_n2q5_1a,3.1800000000000006,3,2
ad10q5,INST_n2q5_1c,3.0569999999999995,5,4
ad10q5,INST_n2q5_1b,5.989999999999999,9,8
ad11q1,KW_n2q1_4,4.522999999999998,8,7
ad11q1,INST_n2q1_1,4.400999999999999,7,6
ad11q1,KW_n2q1_1,10.263999999999996,19,18
ad11q1,BG_n2q1,11.743999999999991,32,31
ad11q1,KW_n2q1_2,5.1329999999999965,9,8
ad11q1,KW_n2q1_3,4.7669999999999995,12,11
ad11q2,KW_n2q2_3,3.792,10,9
ad11q2,KW_n2q2_2,4.519999999999998,9,8
ad11q2,INST_n2q2_1,14.790999999999984,14,13
ad11q2,BG_n2q2,8.306999999999999,26,25
ad11q2,KW_n2q2_4,2.3199999999999994,7,6
ad11q2,KW_n2q2_1,11.737999999999996,21,20
ad11q3,KW_n2q3_1,3.9089999999999994,5,4
ad11q3,INST_n2q3_2,5.620999999999999,6,5
ad11q3,INST_n2q3_1,4.643,6,5
ad11q3,BG_n2q3,3.6679999999999993,15,14
ad11q3,KW_n2q3_2,3.5459999999999976,8,7
ad11q3,KW_n2q3_3,3.1800000000000015,7,6
ad11q4,INST_n2q4_2b,9.531999999999998,16,15
ad11q4,KW_n2q4_1,25.675,27,26
ad11q4,INST_n2q4_1,9.781999999999995,20,19
ad11q4,BG_n2q4,10.260000000000002,33,32
ad11q4,INST_n2q4_2a,21.758999999999975,24,23
ad11q5,BG_n2q5,12.467999999999991,17,16
ad11q5,INST_n2q5_1a,2.321999999999999,2,1
ad11q5,INST_n2q5_1c,1.835,8,7
ad11q5,INST_n2q5_1b,5.376999999999999,9,8
ad12q1,KW_n2q1_4,1.8329999999999997,4,3
ad12q1,INST_n2q1_1,3.917999999999995,7,6
ad12q1,KW_n2q1_1,15.029999999999992,27,26
ad12q1,BG_n2q1,8.561999999999996,26,25
ad12q1,KW_n2q1_2,6.236999999999999,14,13
ad12q1,KW_n2q1_3,4.403,11,10
ad12q2,KW_n2q2_3,2.077,6,5
ad12q2,KW_n2q2_2,2.8120000000000003,10,9
ad12q2,INST_n2q2_1,4.5219999999999985,5,4
ad12q2,BG_n2q2,5.2540000000000004,20,19
ad12q2,KW_n2q2_4,3.057999999999998,7,6
ad12q2,KW_n2q2_1,7.3359999999999985,12,11
ad12q3,KW_n2q3_1,2.6899999999999995,7,6
ad12q3,INST_n2q3_2,2.4429999999999996,3,2
ad12q3,INST_n2q3_1,3.055999999999999,2,1
ad12q3,BG_n2q3,4.033999999999998,11,10
ad12q3,KW_n2q3_2,3.301000000000002,8,7
ad12q3,KW_n2q3_3,3.4229999999999983,5,4
ad12q4,INST_n2q4_2b,5.623999999999999,10,9
ad12q4,KW_n2q4_1,5.743999999999998,6,5
ad12q4,INST_n2q4_1,4.646000000000001,7,6
ad12q4,BG_n2q4,9.900999999999996,23,22
ad12q4,INST_n2q4_2a,6.720999999999995,13,12
ad12q5,BG_n2q5,8.311999999999998,16,15
ad12q5,INST_n2q5_1a,5.5,6,5
ad12q5,INST_n2q5_1c,1.4659999999999997,5,4
ad12q5,INST_n2q5_1b,7.090999999999998,9,8
ad13q1,KW_n2q1_4,2.687999999999999,5,4
ad13q1,INST_n2q1_1,3.7909999999999986,7,6
ad13q1,KW_n2q1_1,8.434999999999999,10,9
ad13q1,BG_n2q1,5.747999999999999,20,19
ad13q1,KW_n2q1_2,5.9899999999999975,8,7
ad13q1,KW_n2q1_3,4.7680000000000025,4,3
ad13q2,KW_n2q2_3,6.115000000000002,18,17
ad13q2,KW_n2q2_2,15.644999999999984,20,19
ad13q2,INST_n2q2_1,4.768999999999998,5,4
ad13q2,BG_n2q2,11.85699999999999,39,38
ad13q2,KW_n2q2_4,3.1769999999999996,7,6
ad13q2,KW_n2q2_1,8.187,18,17
ad13q3,KW_n2q3_1,3.3029999999999973,9,8
ad13q3,INST_n2q3_2,2.077999999999999,2,1
ad13q3,INST_n2q3_1,1.71,3,2
ad13q3,BG_n2q3,4.891000000000001,13,12
ad13q3,KW_n2q3_2,3.663999999999999,9,8
ad13q3,KW_n2q3_3,3.423000000000001,5,4
ad13q4,INST_n2q4_2b,5.868999999999998,14,13
ad13q4,KW_n2q4_1,8.921999999999997,7,6
ad13q4,INST_n2q4_1,3.545,5,4
ad13q4,BG_n2q4,13.68899999999999,31,30
ad13q4,INST_n2q4_2a,10.147999999999994,11,10
