ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
m1q1,KW_n2q1_4,1.8329999999999997,3,2
m1q1,INST_n2q1_1,2.9139999999999997,5,4
m1q1,KW_n2q1_1,1.71,4,3
m1q1,BG_n2q1,1.4250000000000003,8,7
m1q1,KW_n2q1_2,2.4459999999999997,5,4
m1q1,KW_n2q1_3,1.3449999999999998,4,3
m1q2,KW_n2q2_3,4.154999999999998,8,7
m1q2,KW_n2q2_2,1.8329999999999993,1,0
m1q2,INST_n2q2_1,0.611,2,1
m1q2,BG_n2q2,1.9559999999999982,8,7
m1q2,KW_n2q2_4,2.077,4,3
m1q2,KW_n2q2_1,4.890999999999999,3,2
m1q3,KW_n2q3_1,0.489,1,0
m1q3,INST_n2q3_2,3.301,4,3
m1q3,INST_n2q3_1,1.468,2,1
m1q3,BG_n2q3,2.5649999999999995,7,6
m1q3,KW_n2q3_2,0.368,3,2
m1q3,KW_n2q3_3,0.0,0,0
m1q4,INST_n2q4_2b,3.3019999999999996,5,4
m1q4,KW_n2q4_1,22.49299999999999,13,12
m1q4,INST_n2q4_1,2.199,5,4
m1q4,BG_n2q4,3.7879999999999985,14,13
m1q4,INST_n2q4_2a,5.501000000000001,10,9
m1q5,BG_n2q5,4.0329999999999995,10,9
m1q5,INST_n2q5_1a,1.712,4,3
m1q5,INST_n2q5_1c,0.365,1,0
m1q5,INST_n2q5_1b,1.8350000000000002,5,4
m10q1,KW_n2q1_4,5.622000000000001,3,2
m10q1,INST_n2q1_1,0.619,1,0
m10q1,KW_n2q1_1,17.60999999999999,6,5
m10q1,BG_n2q1,1.956,7,6
m10q1,KW_n2q1_2,5.866999999999999,5,4
m10q1,KW_n2q1_3,3.055999999999999,1,0
m10q2,KW_n2q2_3,14.542999999999992,11,10
m10q2,KW_n2q2_2,5.621999999999998,6,5
m10q2,INST_n2q2_1,5.499999999999999,3,2
m10q2,BG_n2q2,3.3009999999999993,18,17
m10q2,KW_n2q2_4,5.134999999999995,8,7
m10q2,KW_n2q2_1,10.268999999999993,12,11
m10q3,KW_n2q3_1,3.6679999999999993,5,4
m10q3,INST_n2q3_2,5.011,2,1
m10q3,INST_n2q3_1,3.5439999999999987,3,2
m10q3,BG_n2q3,3.058,9,8
m10q3,KW_n2q3_2,2.4419999999999997,4,3
m10q3,KW_n2q3_3,3.668,6,5
m10q4,INST_n2q4_2b,10.145999999999997,11,10
m10q4,KW_n2q4_1,32.639,20,19
m10q4,INST_n2q4_1,5.866999999999998,15,14
m10q4,BG_n2q4,11.001999999999995,28,27
m10q4,INST_n2q4_2a,13.568999999999988,18,17
m10q5,BG_n2q5,4.5219999999999985,9,8
m10q5,INST_n2q5_1a,0.367,1,0
m10q5,INST_n2q5_1c,2.078999999999999,6,5
m10q5,INST_n2q5_1b,1.7110000000000007,4,3
m11q1,KW_n2q1_4,4.034999999999999,2,1
m11q1,INST_n2q1_1,0.373,2,1
m11q1,KW_n2q1_1,17.116999999999987,8,7
m11q1,BG_n2q1,3.9160000000000004,11,10
m11q1,KW_n2q1_2,5.376999999999999,6,5
m11q1,KW_n2q1_3,4.5219999999999985,1,0
m11q2,KW_n2q2_3,20.53799999999999,8,7
m11q2,KW_n2q2_2,13.687999999999988,10,9
m11q2,INST_n2q2_1,2.5669999999999993,4,3
m11q2,BG_n2q2,2.3259999999999996,13,12
m11q2,KW_n2q2_4,2.2009999999999996,2,1
m11q2,KW_n2q2_1,11.48799999999999,7,6
m11q3,KW_n2q3_1,2.078,2,1
m11q3,INST_n2q3_2,3.3009999999999993,2,1
m11q3,INST_n2q3_1,2.0779999999999994,1,0
m11q3,BG_n2q3,2.3209999999999997,5,4
m11q3,KW_n2q3_2,1.222,2,1
m11q3,KW_n2q3_3,1.8359999999999994,2,1
m11q4,INST_n2q4_2b,14.667999999999985,15,14
m11q4,KW_n2q4_1,11.122999999999996,12,11
m11q4,INST_n2q4_1,3.5439999999999996,10,9
m11q4,BG_n2q4,9.779999999999994,25,24
m11q4,INST_n2q4_2a,10.878999999999994,10,9
m11q5,BG_n2q5,7.823999999999998,13,12
m11q5,INST_n2q5_1a,3.054999999999999,7,6
m11q5,INST_n2q5_1c,3.3,5,4
m11q5,INST_n2q5_1b,2.566,3,2
m12q1,KW_n2q1_4,3.67,6,5
m12q1,INST_n2q1_1,0.733,2,1
m12q1,KW_n2q1_1,3.790999999999997,7,6
m12q1,BG_n2q1,9.409999999999998,20,19
m12q1,KW_n2q1_2,2.570000000000001,8,7
m12q1,KW_n2q1_3,2.811,6,5
m12q2,KW_n2q2_3,2.077,1,0
m12q2,KW_n2q2_2,0.857,1,0
m12q2,INST_n2q2_1,0.733,1,0
m12q2,BG_n2q2,0.489,3,2
m12q2,KW_n2q2_4,0.733,1,0
m12q2,KW_n2q2_1,5.377999999999998,4,3
m12q3,KW_n2q3_1,4.276999999999998,11,10
m12q3,INST_n2q3_2,5.010999999999999,4,3
m12q3,INST_n2q3_1,5.743999999999999,5,4
m12q3,BG_n2q3,3.670000000000001,17,16
m12q3,KW_n2q3_2,2.320999999999998,7,6
m12q3,KW_n2q3_3,2.0810000000000004,7,6
m12q4,INST_n2q4_2b,6.360999999999999,11,10
