x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.09679,0.869379,0.0,2025-01-30 14:50:20.878,244.0,122.0,-28.224700000000002,25.85653,4.498549999999998,0.9493399999999959,4.597629665175304,37.685489058813964,18.92213509957637
0.1003,0.865755,0.0,2025-01-30 14:50:21.000,366.0,122.0,-27.979,25.602850000000004,0.24570000000000292,-0.2536799999999957,0.35316006625891216,2.894754641466493,18.92213509957637
0.097941,0.861184,0.0,2025-01-30 14:50:21.123,489.0,123.0,-28.14413,25.282879999999995,-0.16513000000000133,-0.3199700000000085,0.36006765725347495,2.927379327264024,18.92213509957637
0.062014,0.862078,0.0,2025-01-30 14:50:21.245,611.0,122.0,-30.659019999999998,25.34546,-2.5148899999999976,0.06258000000000408,2.5156684933631435,20.62023355215691,18.92213509957637
0.060146,0.866707,0.0,2025-01-30 14:50:21.367,733.0,122.0,-30.78978,25.66949,-0.1307600000000022,0.3240300000000005,0.3494189727247232,2.864089940366584,18.92213509957637
0.151297,0.866131,0.0,2025-01-30 14:50:21.489,855.0,122.0,-24.409209999999998,25.62917,6.380570000000002,-0.040320000000001244,6.380697393490779,52.30079830730147,18.92213509957637
0.168454,0.835282,0.0,2025-01-30 14:50:21.612,978.0,123.0,-23.20822,23.469739999999998,1.2009899999999973,-2.1594300000000004,2.470934014699704,20.08889442845288,18.92213509957637
0.253047,0.852075,0.0,2025-01-30 14:50:21.734,1100.0,122.0,-17.28671,24.64525,5.921510000000001,1.1755100000000027,6.037060910757819,49.48410582588376,18.92213509957637
0.248502,0.854979,0.0,2025-01-30 14:50:21.856,1222.0,122.0,-17.60486,24.848530000000004,-0.31814999999999927,0.203280000000003,0.37754758759658463,3.0946523573490543,18.92213509957637
0.263425,0.859949,0.0,2025-01-30 14:50:21.978,1344.0,122.0,-16.56025,25.196429999999996,1.0446099999999987,0.3478999999999921,1.101019737379849,9.024751945736465,18.92213509957637
