Task_ID,Group_Type,Subject_Count,Avg_Eye_Movement_Coefficient,Avg_MMSE_Score,Correlation_Coefficient,Standard_Deviation
Q1,control,20,0.6557611311200503,4.7,-0.0756645886850332,0.08881634332859348
Q2,control,20,0.6211626707321068,4.75,-0.05722449576191683,0.05653509997994769
Q3,control,20,0.5955123214432574,2.95,0.5423373132405548,0.04155628608500987
Q4,control,20,0.7334210009336682,4.1,-0.4072423294002102,0.08412256957311597
Q5,control,20,0.5608685842266434,2.55,-0.11196297370718239,0.07892172369724555
Q1,mci,20,0.5339122247654681,4,0.32697116427519934,0.11246308352917976
Q2,mci,20,0.5037827401742241,4.5,-0.3689694052765111,0.08657731732996976
Q3,mci,20,0.5462279762174224,2.95,0.35319754510603,0.07294872177907846
Q4,mci,20,0.44346758649509666,3.15,-0.11040306270751393,0.10239751328318013
Q5,mci,20,0.5039438329386673,1.8,0.28172324738421706,0.07231145566338042
Q1,ad,18,0.389547197659295,2.1666666666666665,-0.20025595687742298,0.07320055253677257
Q2,ad,18,0.43150162944018855,3.8333333333333335,0.28583271095640694,0.08537280279332779
Q3,ad,18,0.45294031831134124,2.5555555555555554,0.020358661134783768,0.08109201622706207
Q4,ad,18,0.3369340915966324,1.6666666666666667,0.20039250897832753,0.0666575776503215
Q5,ad,18,0.41320692060863806,0.5555555555555556,-0.47585644351398493,0.0656770533329068
