,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.0213659605551497,,0.8043684710351378,,2.174695631361574,
AD,3,2,0.0077449262253377,,0.8138686131386861,,1.826610668110567,
AD,3,3,0.017921146953405,,0.867741935483871,,2.0112256590047304,
AD,3,4,0.0045479141436264,,0.8328611898016998,,1.6592476730600527,
AD,3,5,0.0083884688090737,,0.8943661971830986,,1.463547826239736,
AD,4,1,0.0063126290110714,,0.8906064209274673,,2.729790880075766,
AD,4,2,0.0053091127793937,,0.8195488721804511,,2.1336687757016923,
AD,4,3,0.0085470085470085,,0.8707692307692307,,1.7953249996956162,
AD,4,4,0.0055272108843537,,0.8589743589743589,,1.9431938259206127,
AD,4,5,0.0070445768402258,,0.928374655647383,,2.420992277710075,
AD,5,1,0.0086879037647582,,0.8689458689458689,,1.5670528700125472,
AD,5,2,0.010434221377604,,0.8762886597938144,,2.1233958603411422,
AD,5,3,0.0170927684441197,,0.935042735042735,,3.0356168669171057,
AD,5,4,0.0070510102135428,,0.8613659531090724,,2.3710528116943728,
AD,5,5,0.0103244344949714,,0.8640776699029126,,1.4069821940883669,
AD,6,1,0.0074111603355641,,0.7821939586645469,,1.640509234488223,
AD,6,2,0.0089670295246299,,0.8558951965065502,,1.986732423281895,
AD,6,3,0.0064787894050044,,0.901060070671378,,1.154222184683522,
AD,6,4,0.0067584940312213,,0.8831521739130435,,2.1171705268223424,
AD,6,5,0.0141354022744181,,0.8947368421052632,,1.0957952550009336,
AD,7,1,0.0067361438135992,,0.8844984802431611,,1.804895651144804,
AD,7,2,0.0071956596567719,,0.8314350797266514,,1.7014436512121514,
AD,7,3,0.01135562690892,,0.903448275862069,,1.224394445405986,
AD,7,4,0.0104481665912177,,0.8821490467937608,,2.352592139789216,
AD,7,5,0.0096326530612244,,0.8915254237288136,,2.2834409853782627,
AD,8,1,0.0079133694294044,,0.8778947368421053,,2.2269114659715874,
AD,8,2,0.0220548682087143,,0.933481152993348,,3.0704669982629675,
AD,8,3,0.0048903547316508,,0.8435517970401691,,1.2835511773537776,
AD,8,4,0.0089258233302554,,0.8850574712643678,,1.9628150414142904,
AD,8,5,0.0083944741886443,,0.8228346456692913,,1.7035337450336436,
AD,9,1,0.0126427795045861,,0.8190045248868778,,1.7527448048522072,
AD,9,2,0.0155102040816326,,0.8830409356725146,,1.54515219719895,
AD,9,3,0.0144501416329018,,0.826302729528536,,1.8773493611551293,
AD,9,4,0.0057424516504995,,0.8816067653276956,,1.463896178880833,
AD,9,5,0.0135522959183673,,0.8352941176470589,,0.9055872616982604,
AD,10,1,0.0100806451612903,,0.8838709677419355,,1.9465235223013435,
AD,10,2,0.0096153846153846,,0.8509615384615384,,1.6310802972661655,
AD,10,3,0.0149810616767482,,0.9018867924528302,,1.8121172981852969,
AD,10,4,0.0085798816568047,,0.8586206896551725,,2.158792121972932,
AD,10,5,0.0098517545505723,,0.9333333333333332,,2.1619781796795534,
AD,11,1,0.0055532417048452,,0.8333333333333334,,1.248927828509847,
AD,11,2,0.0077190931891786,,0.8317560462670873,,2.404662091248997,
AD,11,3,0.0149942329873125,,0.875,,2.6598578720265245,
AD,11,4,0.0041707159054097,,0.8099861303744799,,2.0365086103823367,
AD,11,5,0.0153633217993079,,0.7972972972972973,,2.2951500624964103,
AD,12,1,0.0066894098507933,,0.8511796733212341,,1.965907020760512,
AD,12,2,0.0084944115713346,,0.9009287925696594,,2.21163018107546,
AD,12,3,0.0152251376741172,,0.817629179331307,,2.2973288801734246,
AD,12,4,0.0076801332778009,,0.8394793926247288,,1.5335947125019291,
AD,12,5,0.0116598079561042,,0.8496732026143791,,1.9760505388558969,
AD,13,1,0.0084566219800957,,0.8231578947368421,,1.9010200456929085,
AD,13,2,0.0066630444107638,,0.8154506437768241,,1.6882526949912824,
