x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.017294,0.813474,0.0,2025-01-20 17:11:32.838,243.0,122.0,-33.78942,21.94318,-0.41055000000000064,-0.18388999999999456,0.4498520141113059,3.687311591076278,25.810495416754485
0.087512,0.837452,0.0,2025-01-20 17:11:32.961,366.0,123.0,-28.874159999999996,23.62164,4.9152600000000035,1.6784599999999976,5.19393962606421,42.22715143141634,25.810495416754485
0.093317,0.838381,0.0,2025-01-20 17:11:33.083,488.0,122.0,-28.46781,23.686670000000003,0.4063499999999962,0.0650300000000037,0.4115206232985139,3.373119863102573,25.810495416754485
0.20731,0.856845,0.0,2025-01-20 17:11:33.205,610.0,122.0,-20.4883,24.979149999999997,7.979510000000001,1.292479999999994,8.083506936379779,66.25825357688343,25.810495416754485
0.2127,0.863446,0.0,2025-01-20 17:11:33.327,732.0,122.0,-20.111,25.441220000000005,0.3772999999999982,0.46207000000000775,0.596543355423565,4.889699634619385,25.810495416754485
0.079287,0.834277,0.0,2025-01-20 17:11:33.450,855.0,123.0,-29.44991,23.399390000000004,-9.338909999999998,-2.041830000000001,9.559514095235174,77.71962679052987,25.810495416754485
0.036194,0.812701,0.0,2025-01-20 17:11:33.572,977.0,122.0,-32.46642,21.88907,-3.0165100000000002,-1.5103200000000037,3.3734847090953313,27.651514008978126,25.810495416754485
0.191754,0.876268,0.0,2025-01-20 17:11:33.694,1099.0,122.0,-21.57722,26.338760000000004,10.889199999999999,4.449690000000004,11.76326560679899,96.42020989179501,25.810495416754485
0.201529,0.881911,0.0,2025-01-20 17:11:33.816,1221.0,122.0,-20.89297,26.73377,0.6842500000000022,0.39500999999999564,0.7900828833736367,6.476089207980629,25.810495416754485
0.213335,0.885334,0.0,2025-01-20 17:11:33.938,1343.0,122.0,-20.06655,26.973379999999995,0.8264199999999988,0.23960999999999544,0.8604550938311633,7.052910605173469,25.810495416754485
0.223745,0.8742,0.0,2025-01-20 17:11:34.061,1466.0,123.0,-19.337850000000003,26.194,0.7286999999999964,-0.7793799999999962,1.0669755734786006,8.674598158362606,25.810495416754485
0.221426,0.869793,0.0,2025-01-20 17:11:34.183,1588.0,122.0,-19.50018,25.885510000000004,-0.1623299999999972,-0.3084899999999955,0.3485930420992311,2.8573200172068125,25.810495416754485
0.326822,0.891847,0.0,2025-01-20 17:11:34.306,1711.0,123.0,-12.12246,27.429289999999995,7.37772,1.543779999999991,7.537506821675187,61.28054326565192,25.810495416754485
0.34386,0.891713,0.0,2025-01-20 17:11:34.427,1832.0,121.0,-10.9298,27.419909999999998,1.19266,-0.009379999999996613,1.192696885214345,9.856999051358223,25.810495416754485
0.434337,0.889842,0.0,2025-01-20 17:11:34.550,1955.0,123.0,-4.596410000000002,27.28894,6.333389999999998,-0.1309699999999978,6.334744038475428,51.50198405264576,25.810495416754485
0.451256,0.890223,0.0,2025-01-20 17:11:34.672,2077.0,122.0,-3.4120800000000004,27.31561,1.1843300000000019,0.026669999999999305,1.184630253623469,9.710084046094007,25.810495416754485
0.464938,0.886435,0.0,2025-01-20 17:11:34.794,2199.0,122.0,-2.454339999999999,27.050449999999998,0.9577400000000016,-0.2651600000000016,0.9937684504953878,8.14564303684744,25.810495416754485
0.573568,0.882648,0.0,2025-01-20 17:11:34.916,2321.0,122.0,5.149759999999998,26.78536,7.604099999999997,-0.26508999999999716,7.608719308668178,62.3665517103949,25.810495416754485
0.745133,0.866987,0.0,2025-01-20 17:11:35.038,2443.0,122.0,17.159310000000005,25.689089999999997,12.009550000000008,-1.096270000000004,12.059481710065329,98.84821073824041,25.810495416754485
0.091264,0.58763,0.0,2025-01-20 17:11:35.283,2688.0,122.0,-28.61152,6.134099999999999,-19.394199999999998,-9.626750000000001,21.652004738649488,177.47544867745484,25.810495416754485
